Sl. No,State/UT,Till date State wise - Total Number of Vehicles Registered,Till date State wise - Total Vehicle Registered as Electric,Proportion of Electric Vehicle
1,Andaman and Nicobar Island,160375,186,0.12
2,Andhra Pradesh,16517516,66500,0.4
3,Arunachal Pradesh,299371,25,0.01
4,Assam,5393542,116605,2.16
5,Bihar,11728184,155457,1.33
6,Chandigarh,843049,7628,0.9
7,Chhattisgarh,7431353,52813,0.71
8,Delhi,8457200,229305,2.71
9,Goa,1204110,12139,1.01
10,Gujarat,22799866,134273,0.59
11,Haryana,12092054,67812,0.56
12,Himachal Pradesh,2145062,2362,0.11
13,Jammu and Kashmir,2048212,10225,0.5
14,Jharkhand,7056955,35331,0.5
15,Karnataka,29855843,239948,0.8
16,Kerala,16643512,94346,0.57
17,Ladakh,43757,65,0.15
18,Madhya Pradesh,19604968,92388,0.47
19,Maharashtra,34371551,296885,0.86
20,Manipur,554096,1198,0.22
21,Meghalaya,511744,129,0.03
22,Mizoram,349287,114,0.03
23,Nagaland,414439,60,0.01
24,Odisha,10637750,60097,0.56
25,Puducherry,1329787,4421,0.33
26,Punjab,13175075,34162,0.26
27,Rajasthan,18914170,175595,0.93
28,Sikkim,108442,20,0.02
29,Tamil Nadu,31643747,167216,0.53
30,Tripura,711282,14379,2.02
31,Dadra and Nagar Haveli and Daman and Diu,372133,345,0.09
32,Uttarakhand,3626246,48250,1.33
33,Uttar Pradesh,43943230,556629,1.27
34,West Bengal,15020616,67111,0.45
Grand Total,Grand Total,340008524,2744019,0.81
